"ASSET","BANKS","DEP","EQNM","ID","NETINC","STNAME","YEAR"
20505340876,4377,16684229302,2090105512,"CB_2020_USA",136457208,"United States & Other Areas","2020"
17491822711,4523,13614889711,1985802485,"CB_2019_USA",217598538,"United States & Other Areas","2019"
16728102982,4717,12898467418,1888614618,"CB_2018_USA",222056284,"United States & Other Areas","2018"
16217881358,4918,12467586531,1824950466,"CB_2017_USA",151492098,"United States & Other Areas","2017"
15627781046,5115,11982312148,1737945824,"CB_2016_USA",156685060,"United States & Other Areas","2016"
14893214772,5348,11349503567,1675818834,"CB_2015_USA",151896097,"United States & Other Areas","2015"
14474657533,5609,10938732842,1606757767,"CB_2014_USA",140189718,"United States & Other Areas","2014"
13673056712,5851,10385833653,1518720502,"CB_2013_USA",143110234,"United States & Other Areas","2013"
13387499239,6087,10012097628,1486828390,"CB_2012_USA",130041412,"United States & Other Areas","2012"
12650468093,6279,9258874267,1403801650,"CB_2011_USA",110182982,"United States & Other Areas","2011"
12069442602,6532,8517722866,1337851761,"CB_2010_USA",77427236,"United States & Other Areas","2010"
11826781868,6828,8336603049,1288433453,"CB_2009_USA",-11619811,"United States & Other Areas","2009"
12313141199,7086,8085709986,1154480688,"CB_2008_USA",15262023,"United States & Other Areas","2008"
11181900787,7288,7313861237,1143507906,"CB_2007_USA",97639154,"United States & Other Areas","2007"
10097741906,7402,6735638819,1030533331,"CB_2006_USA",128266630,"United States & Other Areas","2006"
9046945908,7467,6077508026,912892459,"CB_2005_USA",113965005,"United States & Other Areas","2005"
8420099062,7570,5596572154,850587022,"CB_2004_USA",104021848,"United States & Other Areas","2004"
7601000415,7698,5034669168,691815157,"CB_2003_USA",102566180,"United States & Other Areas","2003"
7076844192,7803,4689787744,647390909,"CB_2002_USA",89439142,"United States & Other Areas","2002"
6552293846,7998,4377557731,593594836,"CB_2001_USA",74131124,"United States & Other Areas","2001"
6245559732,8200,4179567486,530355859,"CB_2000_USA",70795046,"United States & Other Areas","2000"