"ID","SAVINGS","STNAME","YEAR","chartoth","newcount"
"SI_2020_USA",627,"United States & Other Areas","2020",0,0
"SI_2019_USA",659,"United States & Other Areas","2019",0,0
"SI_2018_USA",691,"United States & Other Areas","2018",0,1
"SI_2017_USA",754,"United States & Other Areas","2017",1,0
"SI_2016_USA",801,"United States & Other Areas","2016",0,0
"SI_2015_USA",845,"United States & Other Areas","2015",0,0
"SI_2014_USA",903,"United States & Other Areas","2014",0,0
"SI_2013_USA",966,"United States & Other Areas","2013",0,0
"SI_2012_USA",1015,"United States & Other Areas","2012",0,0
"SI_2011_USA",1084,"United States & Other Areas","2011",1,0
"SI_2010_USA",1139,"United States & Other Areas","2010",0,0
"SI_2009_USA",1183,"United States & Other Areas","2009",0,1
"SI_2008_USA",1232,"United States & Other Areas","2008",6,4
"SI_2007_USA",1255,"United States & Other Areas","2007",4,9
"SI_2006_USA",1284,"United States & Other Areas","2006",1,14
"SI_2005_USA",1309,"United States & Other Areas","2005",2,12
"SI_2004_USA",1349,"United States & Other Areas","2004",2,5
"SI_2003_USA",1411,"United States & Other Areas","2003",2,5
"SI_2002_USA",1469,"United States & Other Areas","2002",2,1
"SI_2001_USA",1530,"United States & Other Areas","2001",3,16
"SI_2000_USA",1587,"United States & Other Areas","2000",4,30